player_id,latest_market_value,latest_transfer_date,latest_fee,from_club,to_club
102017,35000000,2023-01-31,€11.30m,631,11
102226,7000000,2023-09-06,€4.00m,16,58
102423,10000000,2020-01-20,€9.00m,3709,714
103182,100000,2017-07-01,free transfer,10453,4896
103427,20000000,2020-10-05,€15.00m,985,12
103565,4000000,2022-07-01,free transfer,618,969
103630,100000,2021-05-11,,515,1293
104124,2500000,2015-09-01,€9.50m,703,379
104543,650000,2021-07-12,?,1245,54189
105470,60000000,2018-07-19,€62.50m,12,31
105521,10000000,2016-07-27,€9.45m,368,398
105653,1500000,2022-08-29,free transfer,2832,7160
105695,400000,2024-07-01,?,1241,515
106405,3000000,2016-01-09,€3.00m,1090,167
106437,200000,2019-08-01,free transfer,272,10217
106872,1600000,2022-07-01,free transfer,39,80
106987,20000000,2023-07-24,€19.00m,27,16
107010,15000000,2015-07-20,€12.00m,430,13
107544,425000,2023-07-26,?,465,1519
107665,200000,2023-11-03,,515,2311
107775,2500000,2021-07-20,€1.00m,24,89
108007,300000,2024-02-06,free transfer,1321,450
108354,8000000,2019-07-25,€2.80m,2288,873
108390,65000000,2018-08-09,€35.00m,631,418
108725,8000000,2023-07-01,€17.00m,762,703
108880,8000000,2024-07-01,,82,515
109217,5000000,2022-01-12,€4.30m,6890,449
110292,900000,2019-09-02,€400k,1096,354
110686,400000,2021-07-01,free transfer,449,7775
110695,1700000,2021-01-26,€1.00m,2293,6890
110708,1600000,2023-08-31,free transfer,3840,687
110724,400000,2018-07-01,?,601,2321
110822,1200000,2021-01-19,€300k,601,520
110864,12000000,2022-07-01,free transfer,984,873
110923,7000000,2021-06-30,End of loan,252,506
111036,1500000,2024-05-21,,6890,515
111038,1500000,2023-01-03,?,995,618
111051,2500000,2023-09-04,,515,826
111195,8000000,2020-07-29,€1.00m,610,1237
111196,40000000,2018-07-01,free transfer,398,46
111266,650000,2014-07-01,free transfer,129,80
111426,800000,2022-07-01,free transfer,1519,371
111432,450000,2019-08-30,free transfer,370,2578
111455,20000000,2023-07-06,€15.00m,11,15
111508,1500000,2022-01-28,free transfer,3709,1244
111819,3000000,2022-08-07,free transfer,131,989
111830,225000,2024-07-01,,1241,515
111873,8000000,2020-09-16,€17.40m,11,405
111961,17500000,2020-07-21,€21.70m,5,368
112465,12000000,2022-07-09,€3.00m,720,141
112515,12000000,2022-09-01,free transfer,631,131
112822,500000,2023-08-31,free transfer,190,40
112930,1500000,2024-02-01,free transfer,58,152
112988,2000000,2024-07-01,,11,515
113707,6500000,2022-07-10,free transfer,969,1082
114422,2000000,2023-08-01,€250k,2832,141
115333,500000,2016-07-07,free transfer,16795,12321
115763,1000000,2024-06-30,End of loan,6646,276
115979,300000,2020-07-01,free transfer,2118,269
116088,3000000,2023-07-06,€3.00m,33,533
116611,500000,2024-01-27,?,1059,10484
116648,2500000,2021-07-28,free transfer,931,631
117432,4000000,2024-01-31,€2.00m,89,82
117469,125000,2022-07-01,free transfer,2832,428
117478,300000,2017-07-01,€100k,86,2036
117674,150000,2012-01-01,,5343,82
117683,350000,2020-10-10,,515,6112
117793,500000,2020-01-24,€195k,2963,43
117874,1500000,2024-01-03,free transfer,1775,11854
118161,1000000,2023-07-01,€350k,434,33
118284,4000000,2019-07-01,€2.00m,1041,969
118287,12000000,2021-08-12,€3.00m,1003,114
118534,18000000,2017-07-03,€28.50m,1132,29
118689,15000000,2019-07-01,€29.50m,506,12
118847,5000000,2022-07-01,€1.50m,24,39
118850,3000000,2024-07-01,,121,515
118997,2500000,2022-07-02,free transfer,3368,331
118998,275000,2023-01-01,?,32041,22902
119031,3700000,2023-07-01,€2.80m,6574,141
119037,2000000,2022-07-01,free transfer,48,80
119103,1250000,2015-07-01,?,1322,941
119211,1500000,2022-07-15,free transfer,15,86
119234,1500000,2016-01-05,free transfer,856,39
119277,4500000,2016-07-01,€13.00m,3,82
119296,24000000,2020-07-01,€25.00m,506,16
119333,5000000,2023-07-04,€1.38m,1114,9840
119472,300000,2023-07-01,free transfer,197,5544
119574,400000,2023-07-01,free transfer,465,511
119862,200000,2022-07-01,free transfer,422,377
120013,150000,2024-01-03,free transfer,9961,14680
120030,500000,2018-01-01,?,7975,1322
120095,2500000,2024-02-14,,515,472
120205,4500000,2022-07-08,free transfer,167,60
120629,8000000,2022-07-01,€9.30m,583,379
120705,500000,2019-07-01,free transfer,11000,12321
120785,700000,2023-07-01,?,40079,31008
120892,350000,2021-07-01,free transfer,6112,6110
120970,350000,2022-07-01,€50k,8377,759
120977,150000,2014-05-31,End of loan,1045,371
121387,100000,2024-02-26,free transfer,1100,78497
121477,2500000,2023-01-22,€3.75m,379,543
121483,4000000,2014-07-16,€16.00m,294,13
121985,2000000,2021-08-18,free transfer,12,6195
122421,2000000,2024-06-30,End of loan,13509,50532
122797,6000000,2024-02-12,,10920,515
122840,1000000,2023-07-01,free transfer,11107,738
123275,3000000,2015-07-01,€4.20m,164,931
123551,1500000,2021-08-31,?,641,677
123682,20000000,2020-09-07,€22.25m,989,762
124080,175000,2023-07-01,free transfer,275,269
124410,5000000,2021-07-01,free transfer,167,89
124419,16000000,2023-09-01,€4.90m,294,703
124422,800000,2023-07-12,free transfer,2381,7160
124502,18000000,2022-07-01,free transfer,18,60
124517,700000,2023-08-23,free transfer,42,88
124555,9500000,2020-08-31,End of loan,46,430
124577,300000,2021-01-28,?,987,2759
124628,200000,2013-07-01,free transfer,566,968
124715,1500000,2023-07-03,,515,7775
124884,5000000,2021-08-04,€5.00m,1090,3911
125103,2000000,2021-08-25,€4.00m,42,86
125561,150000,2023-07-18,free transfer,2963,1519
125714,10000000,2023-07-01,€13.00m,60,1148
125781,25000000,2023-07-01,€22.00m,131,13
125858,6000000,2023-08-03,€3.70m,15,141
126194,200000,2024-01-01,,21101,515
126414,35000000,2021-07-01,free transfer,5,46
126540,4000000,2023-07-22,free transfer,131,1082
126552,800000,2022-06-30,End of loan,159,1420
126557,2000000,2019-08-20,€400k,1162,826
126634,175000,2017-01-23,End of loan,1415,800
126664,30000000,2022-01-13,€30.00m,29,405
126665,12000000,2022-09-01,€4.00m,583,29
126710,2500000,2024-07-01,,583,515
126719,5000000,2024-06-30,End of loan,294,583
126729,800000,2015-07-01,€500k,2464,398
126737,8000000,2024-06-30,End of loan,2687,150
127048,2800000,2024-02-01,€5.00m,141,150
127076,3000000,2023-01-12,?,82,89
127108,4000000,2023-07-28,€2.50m,1108,367
127142,1500000,2023-07-19,free transfer,1082,3911
127156,12000000,2019-07-02,€9.50m,1160,969
127181,4000000,2023-01-26,€2.00m,162,969
127187,20000000,2020-09-08,€22.00m,1010,29
127188,2000000,2024-01-28,free transfer,58,417
127189,14000000,2023-07-01,€8.00m,13,244
127202,7000000,2024-02-01,€8.00m,667,703
127217,75000,2018-12-14,,515,276
127573,3000000,2023-08-23,€1.00m,383,39
128223,25000000,2022-06-30,End of loan,506,13
128804,150000,2017-08-21,free transfer,168,6456
128901,12000000,2023-07-01,€8.70m,543,1003
128969,5000000,2023-01-09,€500k,190,1090
129444,1800000,2022-07-25,free transfer,714,12321
129513,2800000,2023-06-30,End of loan,114,2832
129586,2500000,2023-07-01,?,172,1184
129588,13000000,2022-06-30,End of loan,416,1003
129592,1500000,2021-07-01,free transfer,601,157
129604,4000000,2023-06-30,End of loan,36,18487
129655,600000,2016-01-07,€350k,5546,62
129661,200000,2021-02-08,?,6377,450
130164,15000000,2017-07-01,€28.50m,289,29
130360,4000000,2023-08-25,?,416,1047
130365,5500000,2022-07-01,€2.65m,12,5
130394,2500000,2022-07-25,€1.60m,4171,1390
130482,600000,2023-01-09,free transfer,6495,10503
131075,4000000,2023-07-01,€4.00m,398,46
131096,450000,2024-12-31,End of loan,9961,13353
131098,300000,2024-02-02,free transfer,866,9811
131099,300000,2023-01-27,free transfer,9961,10090
131658,50000,2023-07-01,free transfer,979,2423
131740,450000,2016-07-07,?,157,2977
131758,1400000,2022-07-01,€1.25m,19,607
131789,18000000,2023-07-04,free transfer,31,18487
131790,150000,2021-01-29,?,1508,44006
131978,6000000,2023-08-09,free transfer,417,1031
132098,90000000,2023-08-12,€95.00m,148,27
132207,400000,2023-07-01,free transfer,370,2553
132748,650000,2024-02-21,free transfer,6499,28893
133179,10000000,2017-08-10,€16.70m,641,800
133628,350000,2022-09-28,,515,24032
133731,200000,2018-07-01,free transfer,17,2036
133733,250000,2022-07-01,free transfer,377,715
133734,750000,2020-10-05,€900k,10484,197
134270,3500000,2022-01-31,€15.00m,1237,762
134277,800000,2023-09-15,free transfer,290,3205
134294,16000000,2023-01-20,€12.00m,405,379
134425,70000000,2022-07-13,€56.20m,281,631
134491,300000,2022-07-01,free transfer,15906,22431
134602,600000,2023-08-29,free transfer,7775,4294
134631,2000000,2023-07-05,free transfer,10718,142
134883,1400000,2022-08-09,free transfer,1390,1047
135057,2200000,2023-08-13,?,1114,26069
135217,1500000,2022-02-15,€200k,678,759
135343,3000000,2018-07-26,€4.00m,897,762
135492,6500000,2021-07-01,free transfer,40,150
135617,5000000,2023-07-07,€4.21m,1041,3229
136180,5000000,2023-09-07,€3.00m,141,3209
136184,2600000,2024-01-10,free transfer,3840,114
136185,400000,2021-05-04,?,195,2817
136401,1800000,2023-01-25,€57k,698,543
136514,2200000,2022-07-01,free transfer,1390,1025
137313,600000,2024-01-25,?,1423,2424
137326,2500000,2023-07-18,€1.30m,58,1184
137576,6000000,2015-07-01,€4.25m,498,2282
137582,2000000,2021-08-17,free transfer,141,687
137616,3000000,2022-07-18,free transfer,940,984
137621,275000,2023-07-01,free transfer,941,715
138285,150000,2022-07-01,,2990,515
138335,300000,2023-01-08,free transfer,272,1293
138350,400000,2021-07-28,free transfer,4294,88
138927,10000000,2013-07-01,€6.50m,15,418
139208,30000000,2018-01-01,€84.65m,180,31
139304,800000,2023-07-01,€450k,260,35
139336,4000000,2021-07-01,free transfer,1533,1075
139341,900000,2022-08-26,€200k,31614,2425
139393,200000,2024-07-01,,2784,515
139395,6000000,2021-07-03,€5.50m,1075,336
139396,6000000,2023-07-01,€6.50m,36,1075
139435,600000,2018-07-01,free transfer,1532,237
140206,200000,2023-07-01,free transfer,197,1897
140554,2500000,2022-08-07,?,28848,903
140776,25000000,2023-09-04,€15.00m,13,9840
140808,725000,2020-07-01,free transfer,58,157
141050,20000000,2021-07-01,€16.00m,720,583
141099,300000,2015-06-30,End of loan,13726,5544
141834,3000000,2023-01-25,free transfer,51828,27221
142021,16000000,2023-08-11,€8.00m,714,237
142031,3000000,2023-07-01,€600k,1531,237
142219,1200000,2022-07-01,€810k,1322,197
142310,6000000,2022-09-01,€2.60m,543,703
142389,400000,2020-07-03,free transfer,987,762
143118,800000,2023-07-01,€250k,324,168
143282,300000,2018-07-01,€275k,255,6112
143424,7000000,2023-08-12,free transfer,31,114
143559,1500000,2022-09-01,free transfer,430,237
143798,3500000,2015-07-01,€3.50m,197,533
143812,3500000,2022-08-01,free transfer,46,398
143891,2000000,2024-07-01,?,82,60
143975,250000,2023-07-01,free transfer,22431,6456
144028,30000000,2023-01-20,€24.00m,1237,11
144244,4000000,2023-09-01,€2.00m,1090,1390
144721,200000,2022-07-01,free transfer,6456,168
145988,22000000,2023-07-24,free transfer,873,141
146227,3000000,2022-08-08,€1.00m,1049,467
146310,6500000,2023-08-18,€20.00m,79,31
146509,200000,2018-07-28,€840k,2964,984
146712,650000,2021-07-01,free transfer,62,5689
146714,6000000,2019-08-06,€7.50m,273,167
146752,8000000,2023-07-01,€8.00m,276,2919
146790,200000,2023-01-13,free transfer,5619,3837
146795,3000000,2024-05-31,End of loan,180,762
147034,1400000,2023-01-31,?,383,499
147487,5000000,2023-01-21,free transfer,18544,114
147540,500000,2023-07-01,free transfer,941,4529
147548,250000,2023-07-01,free transfer,5545,715
147550,400000,2023-07-01,free transfer,197,2311
147555,900000,2019-01-01,€1.00m,697,62
147557,250000,2022-07-01,free transfer,5545,2311
147670,900000,2023-08-16,free transfer,7097,1029
147866,50000,2023-09-02,?,1114,8023
148153,700000,2013-11-04,End of loan,698,1237
148215,700000,2023-07-01,free transfer,1241,370
148231,300000,2024-01-11,free transfer,10010,2029
148252,6500000,2024-07-01,€4.50m,703,1025
148365,5500000,2022-07-18,€7.00m,3948,2282
148367,2000000,2019-07-01,€3.50m,430,1148
148455,35000000,2017-07-01,€42.00m,12,31
148734,200000,2023-08-18,free transfer,5546,1321
148928,25000000,2022-06-30,End of loan,631,13
149530,500000,2023-09-04,free transfer,8023,50532
149716,2200000,2023-08-10,free transfer,931,1082
149729,12000000,2021-07-13,free transfer,46,294
149829,3000000,2021-06-30,End of loan,252,36
150295,800000,2015-08-11,€175k,76,1100
151213,450000,2021-07-01,free transfer,2999,2759
152460,500000,2022-07-15,free transfer,200,1283
152733,3000000,2023-02-08,€1.00m,3205,114
152776,300000,2023-01-01,,515,6110
153084,40000000,2018-07-01,free transfer,33,27
153190,2500000,2020-10-05,€2.00m,170,1091
153306,750000,2022-01-11,€265k,4000,168
